Dates;Destination;Group;Period;Price;Regio;Status;min_price
['22.04.2020', '29.04.2020'];Kuala Lumpur;fernreisen;2020-04;387;Asia;07.10.2019;386
['06.03.2020', '29.03.2020'];Kuala Lumpur;fernreisen;2020-03;388;Asia;09.10.2019;386
['02.12.2019', '15.12.2019'];Kuala Lumpur;fernreisen;2019-12;389;Asia;18.10.2019;386
['17.02.2020', '04.03.2020'];Kuala Lumpur;fernreisen;2020-02;388;Asia;19.10.2019;386
['17.02.2020', '04.03.2020'];Kuala Lumpur;fernreisen;2020-02;388;Asia;20.10.2019;386
['09.12.2019', '30.12.2019'];Kuala Lumpur;fernreisen;2019-12;389;Asia;22.10.2019;386
['10.02.2020', '08.03.2020'];Kuala Lumpur;fernreisen;2020-02;388;Asia;26.10.2019;386
['02.03.2020', '22.03.2020'];Kuala Lumpur;fernreisen;2020-03;388;Asia;26.10.2019;386
['09.03.2020', '23.03.2020'];Kuala Lumpur;fernreisen;2020-03;386;Asia;2019-12-07;386
['21.03.2020', '12.04.2020'];Kuala Lumpur;fernreisen;2020-03;386;Asia;2019-12-08;386
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;616;Asia;04.10.2019;615
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;616;Asia;05.10.2019;615
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;615;Asia;06.10.2019;615
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;615;Asia;07.10.2019;615
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;616;Asia;04.10.2019;615
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;616;Asia;05.10.2019;615
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;615;Asia;06.10.2019;615
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;615;Asia;07.10.2019;615
['21.04.2020', '05.05.2020'];Manila;fernreisen;2020-04;377;Asia;04.10.2019;370
['24.02.2020', '08.03.2020'];Manila;fernreisen;2020-02;377;Asia;05.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;05.10.2019;370
['04.02.2020', '18.02.2020'];Manila;fernreisen;2020-02;377;Asia;06.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;06.10.2019;370
['03.12.2019', '17.12.2019'];Manila;fernreisen;2019-12;377;Asia;07.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;07.10.2019;370
['11.03.2020', '31.03.2020'];Manila;fernreisen;2020-03;377;Asia;09.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;09.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;18.10.2019;370
['14.02.2020', '08.03.2020'];Manila;fernreisen;2020-02;378;Asia;18.10.2019;370
['10.08.2020', '17.08.2020'];Manila;sommerferien;2020-08;493;Asia;19.10.2019;370
['16.05.2020', '31.05.2020'];Manila;fernreisen;2020-05;370;Asia;19.10.2019;370
['21.04.2020', '05.05.2020'];Manila;fernreisen;2020-04;377;Asia;04.10.2019;370
['24.02.2020', '08.03.2020'];Manila;fernreisen;2020-02;377;Asia;05.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;05.10.2019;370
['04.02.2020', '18.02.2020'];Manila;fernreisen;2020-02;377;Asia;06.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;06.10.2019;370
['03.12.2019', '17.12.2019'];Manila;fernreisen;2019-12;377;Asia;07.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;07.10.2019;370
['11.03.2020', '31.03.2020'];Manila;fernreisen;2020-03;377;Asia;09.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;09.10.2019;370
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501;Asia;18.10.2019;370
['14.02.2020', '08.03.2020'];Manila;fernreisen;2020-02;378;Asia;18.10.2019;370
['10.08.2020', '17.08.2020'];Manila;sommerferien;2020-08;493;Asia;19.10.2019;370
['16.05.2020', '31.05.2020'];Manila;fernreisen;2020-05;370;Asia;19.10.2019;370
['12.08.2020', '24.08.2020'];Manila;sommerferien;2020-08;486;Asia;20.10.2019;370
['27.04.2020', '18.05.2020'];Manila;fernreisen;2020-04;378;Asia;20.10.2019;370
['16.04.2020', '13.05.2020'];Manila;fernreisen;2020-04;379;Asia;22.10.2019;370
['16.05.2020', '31.05.2020'];Manila;fernreisen;2020-05;378;Asia;26.10.2019;370
['29.02.2020', '29.03.2020'];Manila;fernreisen;2020-02;378;Asia;26.10.2019;370
['28.02.2020', '13.03.2020'];Manila;fernreisen;2020-02;372;Asia;2019-12-07;370
['03.03.2020', '17.03.2020'];Manila;fernreisen;2020-03;372;Asia;2019-12-08;370
['15.03.2020', '26.03.2020'];Nagoya;fernreisen;2020-03;410;Asia;2019-12-07;409
['09.01.2020', '14.01.2020'];Osaka;fernreisen;2020-01;396;Asia;2019-12-07;395
['23.10.2019', '04.11.2019'];Perth;last-minute;2019-10;742;Asia;09.10.2019;742
['23.10.2019', '04.11.2019'];Perth;last-minute;2019-10;742;Asia;09.10.2019;742
['10.05.2020', '31.05.2020'];Phnom Penh;fernreisen;2020-05;395;Asia;09.10.2019;393
['03.12.2019', '23.12.2019'];Phnom Penh;fernreisen;2019-12;395;Asia;18.10.2019;393
['14.02.2020', '05.03.2020'];Phnom Penh;fernreisen;2020-02;395;Asia;19.10.2019;393
['10.05.2020', '31.05.2020'];Phnom Penh;fernreisen;2020-05;395;Asia;09.10.2019;393
['03.12.2019', '23.12.2019'];Phnom Penh;fernreisen;2019-12;395;Asia;18.10.2019;393
['14.02.2020', '05.03.2020'];Phnom Penh;fernreisen;2020-02;395;Asia;19.10.2019;393
['04.03.2020', '18.03.2020'];Phnom Penh;fernreisen;2020-03;395;Asia;20.10.2019;393
['23.02.2020', '15.03.2020'];Phnom Penh;fernreisen;2020-02;395;Asia;22.10.2019;393
['04.03.2020', '18.03.2020'];Phnom Penh;fernreisen;2020-03;395;Asia;26.10.2019;393
['23.02.2020', '15.03.2020'];Phnom Penh;fernreisen;2020-02;395;Asia;26.10.2019;393
['01.03.2020', '20.03.2020'];Phnom Penh;fernreisen;2020-03;393;Asia;2019-12-07;393
['11.03.2020', '23.03.2020'];Phnom Penh;fernreisen;2020-03;393;Asia;2019-12-08;393
['13.08.2020', '25.08.2020'];Phuket;sommerferien;2020-08;464;Asia;06.10.2019;408
['13.08.2020', '25.08.2020'];Phuket;sommerferien;2020-08;464;Asia;06.10.2019;408
['09.02.2020', '16.02.2020'];Phuket;fernreisen;2020-02;411;Asia;20.10.2019;408
['06.02.2020', '25.02.2020'];Phuket;fernreisen;2020-02;411;Asia;26.10.2019;408
['13.02.2020', '25.02.2020'];Phuket;fernreisen;2020-02;408;Asia;2019-12-07;408
['27.02.2020', '11.03.2020'];Phuket;fernreisen;2020-02;408;Asia;2019-12-08;408
['10.02.2020', '17.02.2020'];Saigon;fernreisen;2020-02;407;Asia;22.10.2019;405
['27.01.2020', '08.02.2020'];Saigon;fernreisen;2020-01;409;Asia;20.10.2019;405
['04.02.2020', '25.02.2020'];Saigon;fernreisen;2020-02;407;Asia;26.10.2019;405
['12.02.2020', '12.03.2020'];Saigon;fernreisen;2020-02;405;Asia;2019-12-07;405
['12.02.2020', '12.03.2020'];Saigon;fernreisen;2020-02;406;Asia;2019-12-08;405
['17.02.2020', '24.02.2020'];Sapporo Shin Chitose;fernreisen;2020-02;425;Asia;2019-12-07;424
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;389;Asia;04.10.2019;388
['10.12.2019', '18.12.2019'];Seoul;fernreisen;2019-12;388;Asia;05.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;388;Asia;06.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;388;Asia;07.10.2019;388
['10.12.2019', '18.12.2019'];Seoul;fernreisen;2019-12;390;Asia;09.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390;Asia;18.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390;Asia;19.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;389;Asia;04.10.2019;388
['10.12.2019', '18.12.2019'];Seoul;fernreisen;2019-12;388;Asia;05.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;388;Asia;06.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;388;Asia;07.10.2019;388
['10.12.2019', '18.12.2019'];Seoul;fernreisen;2019-12;390;Asia;09.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390;Asia;18.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390;Asia;19.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;389;Asia;20.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390;Asia;22.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390;Asia;26.10.2019;388
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390;Asia;26.10.2019;388
['04.03.2020', '16.03.2020'];Seoul;fernreisen;2020-03;389;Asia;2019-12-07;388
['03.03.2020', '16.03.2020'];Seoul;fernreisen;2020-03;388;Asia;2019-12-08;388
['02.12.2019', '09.12.2019'];Seoul Incheon;fernreisen;2019-12;365;Asia;04.10.2019;364
['02.12.2019', '13.12.2019'];Seoul Incheon;fernreisen;2019-12;365;Asia;05.10.2019;364
['02.12.2019', '13.12.2019'];Seoul Incheon;fernreisen;2019-12;365;Asia;06.10.2019;364
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365;Asia;07.10.2019;364
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365;Asia;09.10.2019;364
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365;Asia;18.10.2019;364
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365;Asia;19.10.2019;364
['02.12.2019', '09.12.2019'];Seoul Incheon;fernreisen;2019-12;365;Asia;04.10.2019;364
['02.12.2019', '13.12.2019'];Seoul Incheon;fernreisen;2019-12;365;Asia;05.10.2019;364
['02.12.2019', '13.12.2019'];Seoul Incheon;fernreisen;2019-12;365;Asia;06.10.2019;364
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365;Asia;07.10.2019;364
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365;Asia;09.10.2019;364
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365;Asia;18.10.2019;364
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365;Asia;19.10.2019;364
['02.12.2019', '09.12.2019'];Seoul Incheon;fernreisen;2019-12;366;Asia;20.10.2019;364
['02.12.2019', '09.12.2019'];Seoul Incheon;fernreisen;2019-12;365;Asia;22.10.2019;364
['01.12.2019', '11.12.2019'];Seoul Incheon;fernreisen;2019-12;364;Asia;26.10.2019;364
